식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
바링토니아 (담수 맹그로브),그림,Barringtonia asiatica,"바링토니아는 반질반질 윤기나는 잎과 쭉 뻗은 얇은 줄기, 그리고 통통한 몸통이 귀여운 식물이에요. 통통한 몸통을 가지고 있어 괴근식물처럼 보이지만 통통한 몸통은 사실 바링토니아의 '씨앗'이라고 해요. 바링토니아는 덥고 습한 열대우림에서 온 식물로, 은은한 빛이 드는 따뜻한 곳에서 주변 공기가 건조해지지 않게 관리해준다면 초보 식집사도 쉽게 키울 수 있는 식물이랍니다. 바링토니아의 커다란 잎은 탄소를 모으고 있는 능력이 뛰어나 공기정화식물로 효과 만점이랍니다. 식물체에는 독성이 있으니 어린아이나 반려동물을 키우는 곳에서는 주의해 주세요","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지 ,40~70%,20~30℃,13℃ 이상,초록,잎을 감상하는,,둥근모양,길쭉한,잎이 두꺼운,잎이 빳빳한,초보자,주의 필요,소형,하,1만5천원,,,,잎이 빳빳한,,,
알로카시아 멜로,그림,Alocasia rugosa 'Melo',알로카시아 멜로는 까끌까끌한 가죽 질감의 잎과 선명한 잎맥이 매력적인 식물이에요. 알로카시아 멜로는 은은한 빛이 드는 따뜻한 곳에서 주변 습도를 촉촉하게 유지해준다면 초보 식집사도 건강하게 키울 수 있어요. 과습에 예민한 식물이기 때문에 흙이 절반정도 말랐을 때 물을 주면 더 건강하게 잘 키울 수 있어요. 식물체 내에는 독성이 있어 어린아이나 반려동물이 있는 집에서는 주의가 필요합니다.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지 ,70% 이상 ,15~27℃,13℃ 이상,은빛의 초록,잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,주의 필요,소형,하,5천원~7천원,,,,,,,
황금 무늬 송악 아이비 (문라이트 아이비),그림,Hedera helix 'Moonlight',"황금 무늬 송악 아이비는 우아한 드레스같은 레이스 모양의 잎에 상큼한 레몬색의 무늬가 아름다운 식물이에요. 문라이트 아이비는 은은한 빛이 드는 곳에서 잎 사이에 공기가 잘 통하도록 관리해주면 초보 식집사도 잘 키울 수 있어요. 서늘한 온도를 좋아하고, 덩굴성의 유연한 줄기를 가지고 있어 아름다운 수형으로 가꾸기 좋은 식물이에요. 독성이 있어 반려동물과 어린아이가 있다면 섭취하지 않도록 주의해주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지 ,40~70%,18~27℃,10℃ 이상,레몬색의 무늬,잎을 감상하는,,둥근모양,하트모양,무늬가 있는,잎이 빳빳한,초보자,주의 필요,소형,하,6천원~1만원,,,,,,,
해마리아 (보석란),그림,Ludisia discolor var. dawsoniana,짙은 밤색의 잎에 선명한 분홍색 잎맥이 사랑스러운 해마리아는 보석란의 한 종류에요. 예쁜 색감과 보송보송한 벨벳같은 잎 덕분에 꾸준하게 인기있는 식물이에요. 해마리아는 은은한 빛이 드는 곳에서 잎 주변에 공기가 잘 통하게 관리해주신다면 초보 식집사도 잘 키울 수 있어요. 빛이 들어오는 쪽을 향해서 줄기가 자라니 예쁜 수형을 위해서는 화분을 자주 돌려가며 키워주는 게 좋아요. 해마리아에는 독성이 없어 어린아이나 반려동물이 있는 집에서도 안심하고 키우실 수 있답니다.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지 ,40~70%,21~25℃,13℃ 이상,짙은밤색,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,안전,소형,하,4천원 ,,,,,,,
무늬 담쟁이,그림,Parthenociccus quinquefloia variegated 'Monham',"무늬 담쟁이는 초록 물감이 흩날린 것 같은 무늬가 아름다운 덩굴 식물이에요. 추위에 강해 노지에서도 겨울을 날 수 있고, 원하는 수형으로 가꾸기 용이해 인기만점이랍니다. 무늬 담쟁이는 밝은 빛이 드는 곳에서 흙이 바싹 마르지 않도록 관리해 주신다면 초보 식집사도 어렵지 않게 키울 수 있어요. 무늬 담쟁이는 성장 속도가 빨라 키우는 재미가 있는 식물이랍니다. 가을에는 아름다운 분홍빛으로 물드는 단풍을 보는 재미도 있어요. 식물체에는 독성이 있으니 반려동물이나 어린아이가 섭취하지 않도록 주의가 필요해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지 ,40~70%,15~30℃,-20도 이상,초록무늬,잎을 감상하는,,둥근모양,별모양,길쭉한,무늬가 있는,초보자,주의 필요,"소, 중형",하,"소: 5천원
중: 1만5천원 ",,,,,,,
자트로파 물티피다,그림,Jatropha multifida,이국적인 느낌을 자아내는 자트로파는 멕시코에서 온 식물이에요. 아름다운 민트색 줄기와 눈의 결정을 닮은 잎이 매력적인 식물이에요. 밝은 빛이 오래 머무는 곳에서 물을 너무 자주 주지 않고 키워주면 초보 식집사도 쉽게 키울 수 있어요. 식물의 진액에는 독성이 있어 알러지 반응을 일으킬 수 있기 때문에 반려동물과 어린 아이가 있는 집에서는 주의가 필요해요.,"평균 월 1~2회
화분 속 흙이 다 마르면 듬뿍 주세요",양지 ,40~70%,15~26℃,10℃ 이상,"초록잎, 민트색 줄기",잎을 감상하는,,별모양,바늘모양,길쭉한,잎 끝이 뾰족한,초보자,주의 필요,소형,하,1만원~1만5천원,,,,,,,
엔젤 스킨답서스,그림,Scindapsus pictus 'Exotica',엔젤 스킨답서스는 하트모양의 큰 잎에 은은하게 빛나는 은색 펄감이 아름다운 식물이에요. 엔젤 스킨답서스는 실내 조건에 잘 적응하는 순둥이 식물이에요. 은은한 빛이 드는 곳에서 주변 공기를 촉촉하게 관리해주면 초보 식집사도 쉽게 키울 수 있어요. 엔젤 스킨답서스는 일산화탄소 제거능력이 뛰어난 공기정화 식물이지만 식물에 독성이 있어 아이들과 반려동물이 먹으면 위험하니 섭취하지 않도록 주의해주세요.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지 ,40~70%,23~27℃,15℃ 이상,초록에 은색펄감,잎을 감상하는,,둥근모양,하트모양,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,소형,하,5천원~8천원,,,,,,,
삼색 달개비,그림,Tradescantia albiflora 'Nanouk',"삼색 달개비는 한 식물에서 짙은 분홍색과 초록색, 흰색을 모두 볼 수 있어요. 예쁜 색감 덕분에 꾸준하게 인기있는 식물이에요. 삼색 달개비는 잎 주변에 공기가 잘 통하게 하여 과습에 주의해 주신다면 초보 가드너도 잘 키울 수 있어요. 늘어지는 수형으로 자라는 삼색 달개비는 성장 속도가 매우 빨라 키우는 재미가 있는 식물이랍니다. 식물체에는 독성이 있으니 반려동물이나 어린아이가 섭취하지 않도록 주의가 필요합니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지 ,40~70%,15~25℃,10℃ 이상,"짙은분홍, 초록, 흰색을 모두 띔",잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,소형,하,7천원~1만원,,,,,,,
녹보수,그림,Radermachera sinica,"녹보수는 반짝이는 잎이 녹색 보석 같다고 해서 붙여진 이름이에요. 때문에 개업 선물, 집들이 선물로 인기가 많은 식물이랍니다. 따뜻한 곳에서 주변 공기를 촉촉하게 관리해 주시면 초보가드너도 어렵지 않게 키울 수 있는 식물이에요. 은은한 빛을 오랫동안 받을 수 있는 곳이라면 더 건강하게 잘 키울 수 있어요. 녹보수는 목이 마르면 잎이 힘 없이 축 처져 물 줄 시기를 가늠할 수 있답니다. 하지만 자리 몸살을 잘 앓는 편이라 위치를 자주 변경하면 잎을 우수수 떨어뜨릴 수 있으니 주의해 주세요","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지 ,40~70%,18~25℃,13℃ 이상,초록,잎을 감상하는,,둥근모양,길쭉한,갈라진,잎 끝이 뾰족한,,,중형,하,2만원~4만원,,,,,,,
서황금 (무늬 관음죽),그림,Rhapis excelsa variegata,"서황금은 밝은 노란 줄무늬가 아름다운 잎을 가진 식물이예요. 빛이 적은 곳에서도 잘 자라고 병해충에도 강하기 때문에 초보 가드너에게 추천하는 식물이에요. 은은한 빛이 드는 곳에서 바람이 잘 통하도록 관리해주시면 건강하게 잘 키울 수 있어요. 관음죽은 암모니아와 이산화탄소 흡수에 뛰어나고, NASA에서 발표한 공기정화 식물 2위이기도 한 대표적인 실내 공기정화 식물이랍니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지 ,40~70%,10~27℃,-7ºC 이상,밝은노랑 줄무늬,잎을 감상하는,,길쭉한,갈라진,무늬가 있는,잎이 두꺼운,초보자,안전,"소, 중형",하,"소: 1만5천원~2만원
중: 5~6만원",,,,,,,
춘봉철화,그림,Euphorbia lactea ‘Cristata’,"춘봉철화는 밝은 빛을 좋아하는 다육식물이예요. 빛이 잘 드는 곳이라면 별도의 관리가 없어도 잘 자라 초보 식집사님들께 추천드리는 식물이랍니다. 다육식물답게 물을 많이 필요로 하지 않고, 습도관리도 까다롭지 않아요. '춘봉'은 '봄날의 꽃봉오리'라는 뜻을, '철화'는 '변이'라는 뜻을 가지고 있어요. 화려한 머리부분은 산호를 닮아 '산호초'라고도 불리운답니다. 한 해 한 해 나이가 들어갈수록 머리가 특이한 모양으로 자라나 키우는 재미를 더해줄 거예요. 춘봉철화를 자르거나 상처를 내게 되면 하얀 진액이 나오는데, 이 진액에는 독성이 있어 알러지 반응을 일으킬 수 있기 때문에 다루실 때 항상 주의가 필요한 식물입니다.","평균 월 1회 이하
빳빳한 몸통이 쭈굴쭈굴해지면 듬뿍 주세요",양지 ,40% 이하 ,15~30℃,13℃ 이상,초록기둥에 화려한 머리부분,다육/선인장,X,둥근모양,길쭉한,무늬가 있는,,초보자,주의 필요,소형,중,8천원~1만5천원,,,,,,,
홍페페,그림,Peperomia clusiifolia,"잎 끝에 빨간 테두리가 매력적인 홍페페는 도톰한 잎에 수분을 저장할 수 있어 물을 많이 필요로 하지 않고, 빛이 적은 곳에서도 잘 자라 초보가드너도 쉽게 키울 수 있는 식물이예요. 둥글고 넓은 잎이 빽빽하게 어긋나 풍성한 느낌을 주고, 독성이 없어 반려동물과 어린아이가 있는 집에서도 안심하고 키울 수 있어요. 따뜻한 중앙아메리카, 남아메리카의 숲에서 온 홍페페는 추위에 약해 따뜻한 곳에서 키워주세요.","평균 월 1~2회
화분 속 흙이 다 마르면 듬뿍 주세요",반음지 ,40~70%,21~25℃,13℃ 이상,잎끝에 빨간 테두리,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎이 두꺼운,초보자,안전,소형,하,2천원~5천원,,,,,,,
보석 금전수,그림,Zamioculcas zamiifolia Zenzi,"잎이 동전 모양을 닮은 보석금전수는 '번영'이라는 꽃말을 가지고 있어 개업, 집들이 선물로 인기 있는 식물이에요. 빛이 적은 곳에서도 잘 자라고 건조에도 강한 식물이라 초보가드너도 쉽게 키울 수 있답니다! 보석금전수는 일반 금전수보다 더 두꺼운 줄기와 잎을 가지고 있으며, 잎 사이 간격이 좁아 아기자기한 매력이 있답니다. 폭우가 내리는 기간과 비가 오지 않아 건조한 기간이 공존하는 동아프리카가 원산지인 금전수는 극단적인 환경에 잘 적응했기 때문에 다양한 환경에서 잘 견디는 편이에요. 식물에는 독성이 있어서 반려동물과 어린아이가 있는 집이라면 주의를 기울여야 해요.","평균 월 1~2회
화분 속 흙이 다 마르면 듬뿍 주세요",반음지 ,40~70%,16~20℃,13℃ 이상,진한녹색,잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,초보자,주의 필요,"소, 중형",하,"소: 1만5천원
중: 2만 5천원",,,,,,,
아글라오네마 지리홍,그림,Aglaonema 'Red Zircon',"아글라오네마 지리홍은 상큼한 진분홍색의 잎에 진녹색의 테두리처럼 둘러진 식물입니다. 화려한 잎을 가졌지만, 빛이 적은 곳에서도 잘 자라고 키우기 까다롭지 않아 초보가드너에게 추천하는 식물이에요. 아글라오네마는 '행운', '행복'이라는 꽃말을 가지고 있고 공기정화 능력도 뛰어나 선물하기도 좋은 훌륭한 실내 식물이랍니다. 동남아시아가 고향인 아글라오네마는 고온다습한 환경을 좋아해요. 따뜻한 곳에서 주변 공기의 습도를 촉촉하게 관리해주면 누구나 건강하게 잘 키울 수 있어요!","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지 ,40~70%,21~25℃,13℃ 이상,진한분홍잎에 진녹색 테두리,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,,소형,하,8천원~1만원 ,,,,,,,
아글라오네마 엔젤,그림,Aglaonema 'Angel',"아글라오네마 엔젤은 선명한 진분홍색의 잎에 녹색의 물감이 튄 것 같은 무늬가 아름다운 식물입니다. 화려한 잎을 가졌지만, 빛이 적은 곳에서도 잘 자라고 키우기 까다롭지 않아 초보가드너에게 추천하는 식물이에요. 아글라오네마는 '행운', '행복'이라는 꽃말을 가지고 있고 공기정화 능력도 뛰어나 선물하기도 좋은 훌륭한 실내 식물이랍니다. 동남아시아가 고향인 아글라오네마는 고온다습한 환경을 좋아해요. 따뜻한 곳에서 주변 공기의 습도를 촉촉하게 관리해주면 누구나 건강하게 잘 키울 수 있어요!","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지 ,40~70%,21~25℃,13℃ 이상,진한분홍색의 잎에 초록무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,,소형,하,5천원,,,,,,,
대은룡 (천국의 계단),그림,Pedilanthus tithymaloides 'Cucullatus',"대은룡은 지그재그로 자라는 줄기와 분홍색 잎이 아름다운 식물이예요. 물을 자주 주지 않아도 되고 생명력이 강해 초보가드너도 쉽게 키울 수 있는 식물입니다. 천국의 계단은 밝은 빛을 오래 받을수록 잎이 아름다운 분홍색으로 물들어요. 식물의 진액에는 독성이 있어 알러지 반응을 일으킬 수 있기 때문에 주의가 필요해요. '야곱의 사다리', '악마의 등뼈', '페딜란투스', '화은룡', '청운죽' 등 다양한 이름으로 불리지만, 최근에는 '천국의 계단'으로 유통되고 있어요.","평균 월 1~2회
통통한 몸통이 살짝 쭈글해지면 듬뿍 주세요",반양지 ,40~70%,15~30℃,10℃ 이상,분홍색 잎,다육/선인장,X,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,"소, 중형",하,"소: 3천원~5천원
중: 2만원~2만5천원",,,,,,,
아디안텀,그림,Adiantum raddianum,까만 줄기에 여리여리한 작은 은행잎을 닮은 잎이 송글송글 달려있는 아디안텀은 고사리과 식물이에요. 아디안텀은 주변 공기가 조금만 건조해도 금세 잎이 말라버려 주변 공기를 항상 촉촉하게 관리해주시면 건강하게 잘 키울 수 있어요. 고온다습한 브라질의 산 속 개울가에서 자라던 아디안텀은 빛이 적은 곳에서도 잘 자라지만 흙이 바싹 마르지 않도록 관리해주는 게 아주 중요해요.,"평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반음지 ,70% 이상 ,16~25℃,13℃ 이상,"까만줄기, 초록잎",잎을 감상하는,,둥근모양,하트모양,별모양,갈라진,,,소형,중,1만원~1만5천원,,,,,,,
립살리스 뽀빠이,그림,Hatiora salicornioides,"립살리스 뽀빠이는 알통을 자랑하는 뽀빠이의 팔뚝처럼 통통한 줄기가 멋진 식물이에요. 다른 립살리스에 비해 위로도 자라기 때문에 더욱더 힘찬 느낌을 준답니다. 립살리스는 물을 자주 주지 않아도 되고 키우기 까다롭지 않은 순둥이 식물이랍니다. 독성이 없어 반려동물이 있는 집에서도 안심하고 키울 수 있어요. 립살리스는 이리저리 휘어지는 유연한 줄기를 가져서 '갈대 선인장', 흙이 아닌 바위, 나무 등에 붙어서 자랄 수 있기 때문에 '착생 선인장'으로도 불린답니다.","평균 월 1~2회
통통한 몸통이 살짝 쭈글해지면 듬뿍 주세요",반양지 ,40~70%,15~25℃,10℃ 이상,진한녹색,다육/선인장,X,둥근모양,길쭉한,잎이 두꺼운,,초보자,안전,소형,하,1만8천원~2만5천원,,,,,,,
립살리스 카스타,그림,Rhipsalis cassutha,"립살리스 카스타는 물을 자주 주지 않아도 되고 키우기 까다롭지 않은 순둥이 식물이랍니다. 독성이 없어 반려동물이 있는 집에서도 안심하고 키울 수 있어요. 가느다란 줄기에 촘촘하게 잎이 난 귀여운 생김새를 가지고 있는 립살리스 카스타는 아래로 흘러 내리면서 자라는 모습이 싱그러워 행잉 플랜트로 각광받고 있어요. 립살리스는 이리저리 휘어지는 유연한 줄기를 가져서 '갈대 선인장', 흙이 아닌 바위, 나무 등에 붙어서 자랄 수 있기 때문에 '착생 선인장'으로도 불린답니다.","평균 월 1~2회
통통한 몸통이 살짝 쭈글해지면 듬뿍 주세요",반양지 ,40~70%,15~25℃,10℃ 이상,진한녹색,다육/선인장,X,길쭉한,잎이 두꺼운,,,초보자,안전,소형,하,1만5천원~2만원 ,,,,,,,
